IdFlightNumber,DepartureTime,Description,Type,Start_Airport,Goal_Airport,PlaneModel_Id,NIT_Airline
54,2023-03-11 20:09:00,Vuelo 54 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,CBK,1001003
55,2023-03-11 11:08:00,Vuelo 55 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,CBK,1001002
56,2023-04-02 07:20:00,Vuelo 56 de Heathrow a Benito Juárez,Privado,Heathrow,Benito Juárez,BMW,1001002
57,2023-10-20 01:00:00,Vuelo 57 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,MIJ,1001005
58,2022-05-17 09:12:00,Vuelo 58 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,MIJ,1001001
59,2023-01-30 01:18:00,Vuelo 59 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,AGX,1001004
60,2023-09-26 18:05:00,Vuelo 60 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,XNT,1001001
61,2023-03-06 21:36:00,Vuelo 61 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,CBK,1001002
62,2023-04-03 12:07:00,Vuelo 62 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,BMW,1001004
63,2023-07-04 02:24:00,Vuelo 63 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,XNT,1001002
64,2022-01-05 23:00:00,Vuelo 64 de JFK International a Heathrow,Privado,JFK International,Heathrow,SMN,1001001
65,2022-01-20 14:22:00,Vuelo 65 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,MIJ,1001001
66,2023-07-16 01:47:00,Vuelo 66 de LAX a Toronto Pearson,Privado,LAX,Toronto Pearson,SMN,1001003
67,2022-04-12 01:47:00,Vuelo 67 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,XNT,1001003
68,2022-10-23 02:22:00,Vuelo 68 de LAX a JFK International,Comercial,LAX,JFK International,MIJ,1001003
69,2022-03-10 05:46:00,Vuelo 69 de LAX a Toronto Pearson,Privado,LAX,Toronto Pearson,AGX,1001004
70,2022-10-15 03:14:00,Vuelo 70 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,AGX,1001003
71,2022-10-24 20:14:00,Vuelo 71 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,MIJ,1001001
72,2023-04-28 02:15:00,Vuelo 72 de Toronto Pearson a JFK International,Privado,Toronto Pearson,JFK International,BMW,1001003
73,2023-04-25 08:27:00,Vuelo 73 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,CBK,1001004
74,2022-06-28 21:08:00,Vuelo 74 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,AGX,1001001
75,2022-05-10 00:03:00,Vuelo 75 de Toronto Pearson a Heathrow,Comercial,Toronto Pearson,Heathrow,AGX,1001003
76,2022-02-26 13:40:00,Vuelo 76 de Heathrow a LAX,Privado,Heathrow,LAX,AGX,1001002
77,2022-12-05 06:52:00,Vuelo 77 de Charles de Gaulle a LAX,Comercial,Charles de Gaulle,LAX,BMW,1001004
78,2022-03-09 06:55:00,Vuelo 78 de Heathrow a LAX,Privado,Heathrow,LAX,XNT,1001003
79,2023-09-18 16:05:00,Vuelo 79 de Charles de Gaulle a LAX,Privado,Charles de Gaulle,LAX,AGX,1001004
80,2023-01-02 03:28:00,Vuelo 80 de Toronto Pearson a LAX,Comercial,Toronto Pearson,LAX,BMW,1001003
81,2022-04-08 02:59:00,Vuelo 81 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,BMW,1001005
82,2023-11-16 03:31:00,Vuelo 82 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,BMW,1001005
83,2022-05-01 17:55:00,Vuelo 83 de Charles de Gaulle a LAX,Comercial,Charles de Gaulle,LAX,BMW,1001004
84,2023-03-31 22:06:00,Vuelo 84 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,XNT,1001004
85,2023-02-24 14:37:00,Vuelo 85 de Heathrow a Charles de Gaulle,Privado,Heathrow,Charles de Gaulle,AGX,1001003
86,2023-01-04 02:08:00,Vuelo 86 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,AGX,1001003
87,2023-07-10 06:15:00,Vuelo 87 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,SMN,1001005
88,2022-01-13 20:44:00,Vuelo 88 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,AGX,1001001
89,2023-01-19 16:43:00,Vuelo 89 de Benito Juárez a Toronto Pearson,Comercial,Benito Juárez,Toronto Pearson,XNT,1001004
90,2022-09-12 03:14:00,Vuelo 90 de LAX a Heathrow,Privado,LAX,Heathrow,CBK,1001004
91,2023-02-20 22:03:00,Vuelo 91 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,XNT,1001001
92,2023-09-13 14:35:00,Vuelo 92 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,CBK,1001001
93,2022-04-21 13:37:00,Vuelo 93 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,BMW,1001001
94,2023-12-15 13:03:00,Vuelo 94 de JFK International a Toronto Pearson,Comercial,JFK International,Toronto Pearson,SMN,1001003
95,2023-06-26 07:21:00,Vuelo 95 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,AGX,1001001
96,2022-03-18 00:35:00,Vuelo 96 de Heathrow a LAX,Privado,Heathrow,LAX,XNT,1001005
97,2023-10-07 18:28:00,Vuelo 97 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,XNT,1001003
98,2023-10-03 08:40:00,Vuelo 98 de LAX a Toronto Pearson,Privado,LAX,Toronto Pearson,SMN,1001002
99,2023-10-15 19:37:00,Vuelo 99 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,AGX,1001004
100,2023-12-26 11:35:00,Vuelo 100 de Toronto Pearson a Benito Juárez,Privado,Toronto Pearson,Benito Juárez,SMN,1001005
101,2022-07-01 13:49:00,Vuelo 101 de Charles de Gaulle a Heathrow,Privado,Charles de Gaulle,Heathrow,AGX,1001001
102,2023-11-26 14:38:00,Vuelo 102 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,AGX,1001003
103,2023-04-12 23:06:00,Vuelo 103 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,BMW,1001003
104,2022-02-26 13:26:00,Vuelo 104 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,MIJ,1001005
105,2023-05-04 12:29:00,Vuelo 105 de Charles de Gaulle a Benito Juárez,Privado,Charles de Gaulle,Benito Juárez,CBK,1001004
106,2022-01-07 09:43:00,Vuelo 106 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,BMW,1001002
107,2023-12-15 22:54:00,Vuelo 107 de Heathrow a JFK International,Privado,Heathrow,JFK International,SMN,1001005
108,2023-09-25 11:57:00,Vuelo 108 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,BMW,1001002
109,2023-06-04 12:03:00,Vuelo 109 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,XNT,1001005
110,2022-08-29 17:37:00,Vuelo 110 de Toronto Pearson a Benito Juárez,Comercial,Toronto Pearson,Benito Juárez,BMW,1001002
111,2022-10-13 23:08:00,Vuelo 111 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,CBK,1001002
112,2022-05-29 20:25:00,Vuelo 112 de Heathrow a Toronto Pearson,Comercial,Heathrow,Toronto Pearson,BMW,1001002
113,2023-08-18 14:58:00,Vuelo 113 de Toronto Pearson a Charles de Gaulle,Comercial,Toronto Pearson,Charles de Gaulle,AGX,1001005
114,2023-07-13 19:51:00,Vuelo 114 de Heathrow a Benito Juárez,Privado,Heathrow,Benito Juárez,SMN,1001002
115,2023-08-09 16:58:00,Vuelo 115 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,CBK,1001001
116,2023-03-05 07:32:00,Vuelo 116 de JFK International a Heathrow,Comercial,JFK International,Heathrow,AGX,1001004
117,2023-02-22 10:29:00,Vuelo 117 de JFK International a Heathrow,Comercial,JFK International,Heathrow,MIJ,1001004
118,2022-07-23 06:45:00,Vuelo 118 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,BMW,1001005
119,2022-12-07 18:11:00,Vuelo 119 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,MIJ,1001001
120,2023-01-17 15:36:00,Vuelo 120 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,AGX,1001005
121,2022-10-20 09:25:00,Vuelo 121 de JFK International a Benito Juárez,Comercial,JFK International,Benito Juárez,SMN,1001002
122,2022-10-22 18:48:00,Vuelo 122 de JFK International a Charles de Gaulle,Comercial,JFK International,Charles de Gaulle,SMN,1001001
123,2023-04-18 07:05:00,Vuelo 123 de Heathrow a Charles de Gaulle,Privado,Heathrow,Charles de Gaulle,CBK,1001001
124,2022-05-22 12:15:00,Vuelo 124 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,BMW,1001003
125,2023-10-01 12:49:00,Vuelo 125 de JFK International a Heathrow,Comercial,JFK International,Heathrow,SMN,1001003
126,2022-06-25 13:12:00,Vuelo 126 de JFK International a Charles de Gaulle,Comercial,JFK International,Charles de Gaulle,CBK,1001005
127,2023-10-23 16:44:00,Vuelo 127 de JFK International a Heathrow,Comercial,JFK International,Heathrow,CBK,1001005
128,2022-09-02 01:53:00,Vuelo 128 de Heathrow a JFK International,Comercial,Heathrow,JFK International,SMN,1001001
129,2022-01-03 00:10:00,Vuelo 129 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,CBK,1001004
130,2023-11-27 01:23:00,Vuelo 130 de Heathrow a Toronto Pearson,Comercial,Heathrow,Toronto Pearson,CBK,1001001
131,2022-07-08 03:23:00,Vuelo 131 de Toronto Pearson a JFK International,Privado,Toronto Pearson,JFK International,CBK,1001004
132,2023-03-04 10:51:00,Vuelo 132 de Heathrow a JFK International,Privado,Heathrow,JFK International,CBK,1001004
133,2022-12-12 13:30:00,Vuelo 133 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,CBK,1001005
134,2023-08-16 01:58:00,Vuelo 134 de Heathrow a Charles de Gaulle,Privado,Heathrow,Charles de Gaulle,MIJ,1001002
135,2022-05-26 16:59:00,Vuelo 135 de JFK International a LAX,Comercial,JFK International,LAX,SMN,1001004
136,2023-02-26 18:22:00,Vuelo 136 de JFK International a LAX,Comercial,JFK International,LAX,XNT,1001001
137,2023-07-14 22:36:00,Vuelo 137 de JFK International a Benito Juárez,Comercial,JFK International,Benito Juárez,XNT,1001004
138,2022-05-31 20:48:00,Vuelo 138 de Benito Juárez a Toronto Pearson,Privado,Benito Juárez,Toronto Pearson,MIJ,1001001
139,2023-02-21 21:04:00,Vuelo 139 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,XNT,1001005
140,2023-02-26 01:03:00,Vuelo 140 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,BMW,1001003
141,2023-08-29 16:24:00,Vuelo 141 de LAX a Benito Juárez,Comercial,LAX,Benito Juárez,SMN,1001003
142,2022-02-27 00:55:00,Vuelo 142 de Charles de Gaulle a LAX,Privado,Charles de Gaulle,LAX,SMN,1001005
143,2023-10-04 01:16:00,Vuelo 143 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,AGX,1001001
144,2022-11-25 22:29:00,Vuelo 144 de JFK International a Heathrow,Comercial,JFK International,Heathrow,XNT,1001003
145,2023-06-30 08:15:00,Vuelo 145 de Heathrow a JFK International,Comercial,Heathrow,JFK International,SMN,1001002
146,2022-08-05 01:19:00,Vuelo 146 de Toronto Pearson a JFK International,Privado,Toronto Pearson,JFK International,XNT,1001001
147,2023-12-13 11:20:00,Vuelo 147 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,BMW,1001003
148,2023-03-01 19:43:00,Vuelo 148 de Charles de Gaulle a JFK International,Privado,Charles de Gaulle,JFK International,BMW,1001004
149,2023-03-01 08:51:00,Vuelo 149 de Charles de Gaulle a Benito Juárez,Privado,Charles de Gaulle,Benito Juárez,CBK,1001001
150,2023-07-09 12:51:00,Vuelo 150 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,CBK,1001003
151,2023-10-16 10:42:00,Vuelo 151 de Charles de Gaulle a Benito Juárez,Privado,Charles de Gaulle,Benito Juárez,XNT,1001001
152,2023-10-07 12:56:00,Vuelo 152 de JFK International a Heathrow,Comercial,JFK International,Heathrow,CBK,1001003
153,2023-01-04 13:17:00,Vuelo 153 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,CBK,1001003
154,2023-02-06 16:02:00,Vuelo 154 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,CBK,1001002
155,2022-04-01 13:55:00,Vuelo 155 de JFK International a LAX,Privado,JFK International,LAX,BMW,1001004
156,2023-06-27 20:23:00,Vuelo 156 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,SMN,1001001
157,2023-05-26 15:32:00,Vuelo 157 de Heathrow a JFK International,Privado,Heathrow,JFK International,AGX,1001003
158,2022-12-26 08:24:00,Vuelo 158 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,AGX,1001002
159,2022-03-16 06:20:00,Vuelo 159 de Heathrow a Charles de Gaulle,Comercial,Heathrow,Charles de Gaulle,SMN,1001003
160,2023-07-05 11:15:00,Vuelo 160 de Benito Juárez a LAX,Privado,Benito Juárez,LAX,CBK,1001004
161,2022-11-20 11:30:00,Vuelo 161 de JFK International a LAX,Comercial,JFK International,LAX,AGX,1001004
162,2023-03-23 07:17:00,Vuelo 162 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,AGX,1001001
163,2023-01-11 04:00:00,Vuelo 163 de Charles de Gaulle a JFK International,Comercial,Charles de Gaulle,JFK International,SMN,1001005
164,2023-06-30 02:45:00,Vuelo 164 de Heathrow a LAX,Comercial,Heathrow,LAX,MIJ,1001003
165,2023-08-20 04:47:00,Vuelo 165 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,AGX,1001001
166,2022-11-19 13:13:00,Vuelo 166 de Charles de Gaulle a Heathrow,Privado,Charles de Gaulle,Heathrow,AGX,1001002
167,2023-12-02 12:09:00,Vuelo 167 de LAX a Charles de Gaulle,Comercial,LAX,Charles de Gaulle,MIJ,1001003
168,2022-03-23 09:11:00,Vuelo 168 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,CBK,1001004
169,2022-09-10 17:55:00,Vuelo 169 de Toronto Pearson a LAX,Comercial,Toronto Pearson,LAX,BMW,1001002
170,2023-10-10 18:20:00,Vuelo 170 de Benito Juárez a LAX,Comercial,Benito Juárez,LAX,XNT,1001005
171,2022-11-14 11:53:00,Vuelo 171 de JFK International a LAX,Privado,JFK International,LAX,SMN,1001002
172,2022-09-05 09:44:00,Vuelo 172 de LAX a Benito Juárez,Privado,LAX,Benito Juárez,CBK,1001003
173,2022-06-18 22:13:00,Vuelo 173 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,MIJ,1001002
174,2022-01-20 15:53:00,Vuelo 174 de Toronto Pearson a Heathrow,Comercial,Toronto Pearson,Heathrow,AGX,1001003
175,2023-01-08 10:43:00,Vuelo 175 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,CBK,1001003
176,2023-12-30 16:38:00,Vuelo 176 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,AGX,1001005
177,2022-09-29 07:07:00,Vuelo 177 de Charles de Gaulle a Toronto Pearson,Comercial,Charles de Gaulle,Toronto Pearson,SMN,1001003
178,2022-06-21 18:23:00,Vuelo 178 de Heathrow a Toronto Pearson,Comercial,Heathrow,Toronto Pearson,CBK,1001003
179,2022-05-16 20:36:00,Vuelo 179 de Benito Juárez a Charles de Gaulle,Comercial,Benito Juárez,Charles de Gaulle,CBK,1001003
180,2022-11-23 22:21:00,Vuelo 180 de JFK International a Benito Juárez,Privado,JFK International,Benito Juárez,CBK,1001004
181,2022-03-28 13:19:00,Vuelo 181 de Heathrow a LAX,Privado,Heathrow,LAX,AGX,1001003
182,2022-02-18 13:09:00,Vuelo 182 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,XNT,1001001
183,2023-03-20 20:05:00,Vuelo 183 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,AGX,1001001
184,2022-06-17 10:12:00,Vuelo 184 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,AGX,1001001
185,2022-03-12 17:05:00,Vuelo 185 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,CBK,1001002
186,2022-04-18 01:30:00,Vuelo 186 de Toronto Pearson a Charles de Gaulle,Privado,Toronto Pearson,Charles de Gaulle,XNT,1001002
187,2022-07-08 21:06:00,Vuelo 187 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,BMW,1001005
188,2022-01-17 21:52:00,Vuelo 188 de Benito Juárez a Heathrow,Privado,Benito Juárez,Heathrow,XNT,1001003
189,2023-01-30 11:18:00,Vuelo 189 de Toronto Pearson a JFK International,Privado,Toronto Pearson,JFK International,AGX,1001002
190,2022-04-03 20:09:00,Vuelo 190 de Benito Juárez a LAX,Comercial,Benito Juárez,LAX,BMW,1001004
191,2022-12-30 09:55:00,Vuelo 191 de Toronto Pearson a LAX,Privado,Toronto Pearson,LAX,MIJ,1001005
192,2022-10-29 23:52:00,Vuelo 192 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,BMW,1001005
193,2023-01-27 14:25:00,Vuelo 193 de Benito Juárez a Charles de Gaulle,Privado,Benito Juárez,Charles de Gaulle,BMW,1001001
194,2023-06-03 15:23:00,Vuelo 194 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,AGX,1001002
195,2023-06-14 21:08:00,Vuelo 195 de LAX a Charles de Gaulle,Privado,LAX,Charles de Gaulle,MIJ,1001002
196,2023-06-06 21:05:00,Vuelo 196 de Heathrow a Toronto Pearson,Privado,Heathrow,Toronto Pearson,MIJ,1001003
197,2023-04-14 17:30:00,Vuelo 197 de JFK International a Heathrow,Comercial,JFK International,Heathrow,AGX,1001004
198,2022-08-08 08:14:00,Vuelo 198 de Toronto Pearson a Heathrow,Privado,Toronto Pearson,Heathrow,SMN,1001005
199,2023-12-31 12:19:00,Vuelo 199 de Benito Juárez a LAX,Comercial,Benito Juárez,LAX,AGX,1001001
200,2022-04-25 19:14:00,Vuelo 200 de Charles de Gaulle a JFK International,Privado,Charles de Gaulle,JFK International,CBK,1001001
201,2022-02-24 12:24:00,Vuelo 201 de LAX a Toronto Pearson,Comercial,LAX,Toronto Pearson,CBK,1001004
202,2022-12-29 19:13:00,Vuelo 202 de JFK International a Toronto Pearson,Comercial,JFK International,Toronto Pearson,AGX,1001001
203,2022-06-27 20:12:00,Vuelo 203 de Charles de Gaulle a JFK International,Privado,Charles de Gaulle,JFK International,AGX,1001005
204,2022-05-13 18:49:00,Vuelo 204 de Benito Juárez a JFK International,Privado,Benito Juárez,JFK International,CBK,1001003
205,2023-01-02 09:41:00,Vuelo 205 de Benito Juárez a Heathrow,Comercial,Benito Juárez,Heathrow,CBK,1001001
206,2022-08-17 01:10:00,Vuelo 206 de Charles de Gaulle a Heathrow,Comercial,Charles de Gaulle,Heathrow,XNT,1001004
207,2023-05-31 21:45:00,Vuelo 207 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,MIJ,1001001
208,2022-11-09 22:13:00,Vuelo 208 de Heathrow a Benito Juárez,Comercial,Heathrow,Benito Juárez,CBK,1001001
209,2022-06-30 09:01:00,Vuelo 209 de LAX a JFK International,Comercial,LAX,JFK International,XNT,1001002
210,2023-08-18 02:44:00,Vuelo 210 de Heathrow a JFK International,Comercial,Heathrow,JFK International,SMN,1001003
211,2022-01-14 09:02:00,Vuelo 211 de LAX a Heathrow,Privado,LAX,Heathrow,CBK,1001001
212,2023-11-22 15:52:00,Vuelo 212 de Heathrow a Benito Juárez,Privado,Heathrow,Benito Juárez,AGX,1001002
213,2022-03-17 05:18:00,Vuelo 213 de Heathrow a Toronto Pearson,Comercial,Heathrow,Toronto Pearson,XNT,1001001
214,2022-12-01 01:16:00,Vuelo 214 de Toronto Pearson a JFK International,Comercial,Toronto Pearson,JFK International,XNT,1001001
215,2023-05-22 23:48:00,Vuelo 215 de JFK International a Heathrow,Privado,JFK International,Heathrow,CBK,1001005
