Id	Description	Graphic
HTV	lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in	http://wsj.com/nulla.jpg
DGN	condimentum curabitur in libero ut massa volutpat convallis morbi odio odio	https://vkontakte.ru/a/pede.jsp
FAV	massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras	https://smugmug.com/accumsan.png
NSV	mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl	http://msu.edu/nisi/volutpat/eleifend/donec.jpg
PSK	suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique	https://youku.com/volutpat/erat/quisque/erat/eros/viverra/eget.html
BSK	ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis	http://friendfeed.com/sapien/cursus.js
AMQ	molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate	https://sitemeter.com/morbi/vestibulum/velit/id.jpg
VCA	maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque	http://go.com/tincidunt/ante/vel.png
FCA	in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet	https://fema.gov/orci/luctus/et/ultrices.js
SGU	sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo	https://so-net.ne.jp/vitae/ipsum/aliquam/non/mauris/morbi.xml
PYY	ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo	https://example.com/a/libero/nam/dui/proin/leo.aspx
