IdFlight,BoardingTime,FlightDate,Gate,CheckInCounter,IdFlightNumber
50,2022-06-08 07:14:00,2022-06-08,A3,Counter 2,660
51,2023-03-27 16:04:00,2023-03-27,B6,Counter 11,848
52,2023-02-27 01:16:00,2023-02-27,B2,Counter 13,603
53,2022-09-10 10:38:00,2022-09-10,B4,Counter 19,674
54,2023-07-26 21:59:00,2023-07-26,B1,Counter 19,757
55,2023-03-29 23:46:00,2023-03-29,A9,Counter 20,277
56,2022-02-20 11:01:00,2022-02-20,B10,Counter 4,545
57,2023-02-23 00:23:00,2023-02-23,B2,Counter 7,253
58,2022-05-26 16:31:00,2022-05-26,C8,Counter 3,279
59,2022-09-25 02:27:00,2022-09-25,C1,Counter 3,398
60,2022-07-10 02:10:00,2022-07-10,C7,Counter 2,830
61,2022-01-25 02:49:00,2022-01-25,C6,Counter 14,470
62,2022-12-28 20:27:00,2022-12-28,B7,Counter 12,787
63,2023-08-14 11:37:00,2023-08-14,C5,Counter 3,864
64,2023-06-20 09:54:00,2023-06-20,B3,Counter 19,701
65,2022-11-21 02:27:00,2022-11-21,C10,Counter 16,268
66,2022-01-24 06:22:00,2022-01-24,C5,Counter 8,282
67,2023-02-28 15:12:00,2023-02-28,C2,Counter 4,476
68,2022-06-03 01:21:00,2022-06-03,C6,Counter 2,857
69,2023-03-05 08:17:00,2023-03-05,C9,Counter 1,83
70,2022-02-03 22:42:00,2022-02-03,C7,Counter 14,619
71,2023-10-05 05:57:00,2023-10-05,A5,Counter 3,847
72,2022-08-07 11:33:00,2022-08-07,C6,Counter 5,878
73,2022-11-13 17:19:00,2022-11-13,C8,Counter 12,796
74,2022-08-29 07:29:00,2022-08-29,B7,Counter 7,98
75,2023-07-02 00:52:00,2023-07-02,A10,Counter 5,207
76,2022-02-03 17:25:00,2022-02-03,C8,Counter 12,614
77,2022-07-19 23:05:00,2022-07-19,C2,Counter 11,683
78,2023-05-27 14:28:00,2023-05-27,B10,Counter 5,730
79,2023-07-28 00:50:00,2023-07-28,A7,Counter 12,840
80,2023-12-16 09:34:00,2023-12-16,A7,Counter 3,74
81,2022-12-18 23:11:00,2022-12-18,A9,Counter 9,170
82,2022-03-03 09:45:00,2022-03-03,A3,Counter 16,817
83,2023-04-11 07:56:00,2023-04-11,C2,Counter 1,466
84,2023-09-03 19:48:00,2023-09-03,A7,Counter 7,31
85,2022-04-09 15:26:00,2022-04-09,A3,Counter 10,723
86,2023-02-24 16:45:00,2023-02-24,B9,Counter 1,999
87,2023-03-05 13:54:00,2023-03-05,A7,Counter 10,851
88,2022-07-10 10:48:00,2022-07-10,C9,Counter 6,531
89,2023-07-18 05:21:00,2023-07-18,C6,Counter 4,527
90,2022-10-22 08:09:00,2022-10-22,B4,Counter 8,323
91,2023-09-12 22:08:00,2023-09-12,A7,Counter 16,117
92,2023-06-19 17:56:00,2023-06-19,A6,Counter 7,280
93,2023-11-03 06:12:00,2023-11-03,B3,Counter 5,992
94,2022-12-11 01:29:00,2022-12-11,C4,Counter 20,37
95,2022-04-25 02:15:00,2022-04-25,C9,Counter 9,677
96,2023-01-08 03:40:00,2023-01-08,A3,Counter 4,207
97,2022-08-23 02:32:00,2022-08-23,C2,Counter 18,679
98,2022-08-05 13:44:00,2022-08-05,C9,Counter 2,54
99,2022-04-23 15:41:00,2022-04-23,B5,Counter 15,722
100,2022-03-16 03:23:00,2022-03-16,B8,Counter 18,361
101,2023-07-22 11:11:00,2023-07-22,B2,Counter 12,482
102,2023-09-14 17:27:00,2023-09-14,A10,Counter 16,310
103,2023-04-21 14:13:00,2023-04-21,C6,Counter 6,845
104,2023-08-18 15:04:00,2023-08-18,C1,Counter 8,662
105,2022-05-10 09:13:00,2022-05-10,C1,Counter 9,966
106,2023-05-04 19:42:00,2023-05-04,B3,Counter 2,731
107,2022-12-15 03:36:00,2022-12-15,A4,Counter 4,572
108,2023-11-05 03:55:00,2023-11-05,B8,Counter 3,709
109,2023-04-08 21:59:00,2023-04-08,C10,Counter 8,435
110,2022-12-05 16:00:00,2022-12-05,C5,Counter 10,712
111,2023-12-30 21:15:00,2023-12-30,A4,Counter 15,78
112,2023-07-09 15:20:00,2023-07-09,B8,Counter 6,852
113,2023-07-11 12:38:00,2023-07-11,C10,Counter 6,802
114,2023-01-14 08:20:00,2023-01-14,A8,Counter 1,596
115,2022-05-28 05:52:00,2022-05-28,B9,Counter 18,23
116,2023-03-08 06:53:00,2023-03-08,C4,Counter 6,790
117,2023-11-27 21:35:00,2023-11-27,B5,Counter 5,476
118,2022-08-21 17:01:00,2022-08-21,A4,Counter 18,373
119,2022-03-27 02:13:00,2022-03-27,B10,Counter 1,219
120,2022-10-06 04:39:00,2022-10-06,C3,Counter 8,354
121,2022-07-22 05:29:00,2022-07-22,C2,Counter 2,545
122,2022-02-13 05:12:00,2022-02-13,A2,Counter 20,866
123,2022-10-17 06:43:00,2022-10-17,B5,Counter 19,334
124,2023-09-15 21:52:00,2023-09-15,C4,Counter 5,244
125,2023-08-19 01:53:00,2023-08-19,B1,Counter 2,320
126,2023-10-30 14:56:00,2023-10-30,A9,Counter 7,245
127,2022-01-21 10:35:00,2022-01-21,B1,Counter 9,316
128,2022-06-14 01:59:00,2022-06-14,C6,Counter 4,344
129,2022-12-23 13:13:00,2022-12-23,A3,Counter 11,534
130,2023-11-21 07:40:00,2023-11-21,B3,Counter 5,5
131,2023-11-03 11:05:00,2023-11-03,A10,Counter 15,898
132,2022-11-09 16:34:00,2022-11-09,A4,Counter 14,144
133,2022-05-13 15:40:00,2022-05-13,C8,Counter 3,506
134,2023-04-26 08:45:00,2023-04-26,B1,Counter 2,131
135,2022-10-24 14:43:00,2022-10-24,B3,Counter 15,20
136,2022-03-23 14:20:00,2022-03-23,A6,Counter 2,782
137,2023-03-25 02:20:00,2023-03-25,A8,Counter 11,567
138,2022-06-06 21:10:00,2022-06-06,B4,Counter 17,307
139,2022-12-31 17:20:00,2022-12-31,A3,Counter 15,393
140,2023-11-14 09:30:00,2023-11-14,A10,Counter 7,93
141,2022-02-27 12:58:00,2022-02-27,B1,Counter 3,391
142,2023-11-19 00:34:00,2023-11-19,B3,Counter 10,228
143,2022-09-30 20:19:00,2022-09-30,B3,Counter 20,673
144,2022-10-28 19:24:00,2022-10-28,B10,Counter 18,513
145,2023-11-20 23:23:00,2023-11-20,C1,Counter 1,369
146,2022-12-18 10:18:00,2022-12-18,A9,Counter 6,628
147,2023-02-21 10:41:00,2023-02-21,B9,Counter 7,31
148,2022-04-25 09:08:00,2022-04-25,B10,Counter 14,189
149,2023-03-04 23:06:00,2023-03-04,A9,Counter 20,574
150,2023-07-24 14:48:00,2023-07-24,B2,Counter 15,987
151,2022-01-26 18:04:00,2022-01-26,B4,Counter 12,248
152,2023-07-06 01:52:00,2023-07-06,A4,Counter 3,267
153,2022-02-28 10:39:00,2022-02-28,B2,Counter 18,50
154,2023-06-17 07:18:00,2023-06-17,C1,Counter 6,320
155,2022-01-25 07:09:00,2022-01-25,B6,Counter 9,978
156,2022-06-26 07:37:00,2022-06-26,C7,Counter 19,814
157,2022-11-23 01:23:00,2022-11-23,A4,Counter 18,235
158,2023-06-11 01:44:00,2023-06-11,A6,Counter 8,919
159,2023-09-08 15:36:00,2023-09-08,B6,Counter 9,863
160,2022-02-02 07:26:00,2022-02-02,A9,Counter 13,962
161,2023-05-20 07:55:00,2023-05-20,C3,Counter 19,31
162,2023-03-12 23:12:00,2023-03-12,A8,Counter 11,781
163,2022-05-31 23:01:00,2022-05-31,B2,Counter 17,526
164,2023-04-01 07:43:00,2023-04-01,A10,Counter 2,506
165,2023-06-01 19:43:00,2023-06-01,A5,Counter 10,198
166,2023-02-01 13:45:00,2023-02-01,B1,Counter 13,931
167,2023-09-24 13:47:00,2023-09-24,C2,Counter 16,124
168,2023-12-07 01:49:00,2023-12-07,C2,Counter 11,437
169,2022-04-23 20:44:00,2022-04-23,C8,Counter 6,240
170,2022-02-14 21:09:00,2022-02-14,C8,Counter 9,793
171,2023-09-02 14:52:00,2023-09-02,A10,Counter 9,865
172,2023-04-20 11:54:00,2023-04-20,A5,Counter 2,293
173,2022-04-10 06:46:00,2022-04-10,B7,Counter 17,639
174,2023-05-16 06:31:00,2023-05-16,C1,Counter 7,403
175,2023-11-07 23:19:00,2023-11-07,A9,Counter 15,607
176,2022-09-29 10:44:00,2022-09-29,C10,Counter 4,569
177,2022-06-09 05:50:00,2022-06-09,B2,Counter 18,908
178,2022-12-30 06:21:00,2022-12-30,C6,Counter 5,746
179,2023-01-20 20:33:00,2023-01-20,A7,Counter 1,643
180,2022-06-15 00:25:00,2022-06-15,C8,Counter 20,353
181,2023-08-29 10:19:00,2023-08-29,C5,Counter 10,822
182,2022-08-12 09:25:00,2022-08-12,A7,Counter 11,669
183,2022-05-28 03:48:00,2022-05-28,B4,Counter 13,748
184,2023-12-03 07:28:00,2023-12-03,A9,Counter 14,214
185,2022-04-17 01:54:00,2022-04-17,C1,Counter 8,433
186,2023-01-28 10:33:00,2023-01-28,A7,Counter 4,45
187,2022-09-12 00:28:00,2022-09-12,C4,Counter 5,176
188,2022-11-25 03:06:00,2022-11-25,A5,Counter 10,518
189,2022-08-28 18:51:00,2022-08-28,B2,Counter 19,304
190,2023-01-17 19:04:00,2023-01-17,A8,Counter 18,334
191,2023-12-09 10:45:00,2023-12-09,A9,Counter 7,84
192,2023-01-23 00:08:00,2023-01-23,C6,Counter 14,127
193,2022-02-23 17:41:00,2022-02-23,B4,Counter 19,501
194,2022-10-29 04:15:00,2022-10-29,A1,Counter 6,704
195,2022-11-29 20:43:00,2022-11-29,C6,Counter 19,505
196,2022-03-11 02:38:00,2022-03-11,C10,Counter 14,393
197,2022-12-16 04:42:00,2022-12-16,A8,Counter 14,469
198,2023-05-10 07:52:00,2023-05-10,B3,Counter 18,81
199,2023-08-08 22:04:00,2023-08-08,A2,Counter 19,419
200,2022-05-21 16:59:00,2022-05-21,B2,Counter 11,395
201,2022-04-07 19:52:00,2022-04-07,B9,Counter 3,500
202,2022-09-06 09:09:00,2022-09-06,A2,Counter 11,207
203,2023-02-23 17:50:00,2023-02-23,C6,Counter 3,859
204,2022-06-17 23:14:00,2022-06-17,B9,Counter 5,826
205,2022-06-14 10:34:00,2022-06-14,C5,Counter 2,465
206,2022-03-04 11:41:00,2022-03-04,A7,Counter 15,427
207,2023-12-24 13:12:00,2023-12-24,A9,Counter 10,540
208,2022-10-11 20:59:00,2022-10-11,B7,Counter 15,609
209,2023-04-28 21:30:00,2023-04-28,C9,Counter 13,832
210,2023-03-10 09:54:00,2023-03-10,C7,Counter 8,398
211,2022-06-23 05:42:00,2022-06-23,C1,Counter 20,315
212,2023-10-30 18:07:00,2023-10-30,C3,Counter 3,343
213,2023-02-21 21:38:00,2023-02-21,C10,Counter 7,541
214,2023-08-23 04:26:00,2023-08-23,B2,Counter 13,671
215,2023-06-20 04:56:00,2023-06-20,A10,Counter 11,898
216,2023-06-02 23:16:00,2023-06-02,B8,Counter 4,723
217,2022-11-02 22:12:00,2022-11-02,A2,Counter 18,149
218,2023-04-20 10:51:00,2023-04-20,C1,Counter 16,708
219,2023-01-06 15:08:00,2023-01-06,C4,Counter 11,389
220,2022-04-06 04:17:00,2022-04-06,A5,Counter 7,531
221,2022-06-03 14:42:00,2022-06-03,C2,Counter 4,368
222,2022-08-20 10:06:00,2022-08-20,A10,Counter 5,37
223,2023-06-22 08:00:00,2023-06-22,A9,Counter 19,523
224,2023-09-21 00:28:00,2023-09-21,C7,Counter 17,219
225,2022-10-29 04:09:00,2022-10-29,A9,Counter 18,392
226,2023-12-03 21:49:00,2023-12-03,C3,Counter 7,623
227,2023-10-10 19:48:00,2023-10-10,A1,Counter 17,861
228,2023-09-24 08:46:00,2023-09-24,A6,Counter 12,604
229,2023-02-02 08:58:00,2023-02-02,A1,Counter 9,512
230,2022-04-03 05:34:00,2022-04-03,B1,Counter 7,735
231,2023-03-31 13:43:00,2023-03-31,B5,Counter 20,334
232,2023-05-14 17:15:00,2023-05-14,C8,Counter 3,769
233,2023-10-31 21:50:00,2023-10-31,B8,Counter 6,957
234,2022-06-24 12:45:00,2022-06-24,A3,Counter 16,857
235,2022-08-11 21:50:00,2022-08-11,A10,Counter 19,653
236,2023-09-06 10:41:00,2023-09-06,C3,Counter 14,560
237,2022-06-24 22:31:00,2022-06-24,C6,Counter 20,234
238,2022-12-07 02:53:00,2022-12-07,C9,Counter 3,939
239,2022-07-02 04:37:00,2022-07-02,A2,Counter 6,492
240,2022-11-19 16:18:00,2022-11-19,C5,Counter 18,962
241,2022-01-03 13:33:00,2022-01-03,A1,Counter 1,743
242,2023-09-15 07:10:00,2023-09-15,B2,Counter 19,112
243,2022-05-17 04:03:00,2022-05-17,C7,Counter 6,764
244,2023-06-20 12:21:00,2023-06-20,C7,Counter 3,219
245,2023-06-24 22:32:00,2023-06-24,B1,Counter 7,340
246,2023-06-16 05:32:00,2023-06-16,B6,Counter 19,270
247,2023-11-23 06:39:00,2023-11-23,B3,Counter 14,350
248,2022-11-19 17:41:00,2022-11-19,A5,Counter 10,223
249,2022-06-19 09:02:00,2022-06-19,C5,Counter 7,296
250,2022-09-02 10:23:00,2022-09-02,C10,Counter 15,237
251,2022-11-22 02:08:00,2022-11-22,B9,Counter 12,311
252,2023-10-03 11:27:00,2023-10-03,C10,Counter 11,470
253,2022-04-11 22:02:00,2022-04-11,A5,Counter 19,427
254,2022-07-08 00:46:00,2022-07-08,A7,Counter 12,937
255,2022-01-29 10:40:00,2022-01-29,A7,Counter 10,726
256,2022-12-24 19:03:00,2022-12-24,C3,Counter 17,951
257,2023-07-23 17:44:00,2023-07-23,C8,Counter 8,779
258,2022-09-13 19:39:00,2022-09-13,A6,Counter 12,466
259,2023-07-29 18:02:00,2023-07-29,B8,Counter 5,289
260,2023-03-28 22:06:00,2023-03-28,A5,Counter 12,57
261,2023-10-17 00:00:00,2023-10-17,C5,Counter 16,663
262,2023-06-21 19:37:00,2023-06-21,B8,Counter 11,135
263,2022-05-18 16:17:00,2022-05-18,C6,Counter 15,309
264,2022-07-25 04:36:00,2022-07-25,A5,Counter 10,274
265,2023-12-17 19:54:00,2023-12-17,B1,Counter 1,600
266,2023-07-03 04:07:00,2023-07-03,C5,Counter 5,547
267,2022-03-10 21:53:00,2022-03-10,A4,Counter 2,274
268,2022-06-04 12:31:00,2022-06-04,A3,Counter 17,85
269,2023-04-12 14:03:00,2023-04-12,C5,Counter 15,356
270,2022-08-02 12:48:00,2022-08-02,A2,Counter 6,908
271,2022-06-07 10:17:00,2022-06-07,A8,Counter 19,598
272,2023-02-26 08:17:00,2023-02-26,C5,Counter 16,300
273,2023-12-14 11:41:00,2023-12-14,C3,Counter 17,335
274,2022-07-04 11:48:00,2022-07-04,C8,Counter 10,3
275,2023-12-28 02:43:00,2023-12-28,A9,Counter 3,565
276,2023-05-13 05:21:00,2023-05-13,C5,Counter 12,258
277,2022-06-12 18:55:00,2022-06-12,A5,Counter 13,584
278,2023-06-09 15:12:00,2023-06-09,B1,Counter 20,484
279,2022-08-26 17:39:00,2022-08-26,C10,Counter 9,867
280,2023-11-19 01:07:00,2023-11-19,B8,Counter 17,632
281,2023-09-19 09:00:00,2023-09-19,C6,Counter 16,509
282,2022-04-27 08:02:00,2022-04-27,B1,Counter 5,838
283,2022-08-30 01:28:00,2022-08-30,B7,Counter 17,337
284,2023-02-24 19:07:00,2023-02-24,A4,Counter 10,540
285,2022-06-20 15:00:00,2022-06-20,C6,Counter 15,416
286,2023-05-06 14:31:00,2023-05-06,B1,Counter 11,947
287,2022-03-13 02:26:00,2022-03-13,A1,Counter 19,537
288,2022-01-30 22:51:00,2022-01-30,C8,Counter 17,299
289,2022-05-20 08:53:00,2022-05-20,C4,Counter 17,901
290,2022-08-08 04:30:00,2022-08-08,A1,Counter 18,291
291,2023-08-20 23:55:00,2023-08-20,B7,Counter 3,449
292,2023-02-01 07:15:00,2023-02-01,A1,Counter 3,442
293,2023-06-10 14:37:00,2023-06-10,A7,Counter 3,101
294,2023-12-16 15:57:00,2023-12-16,A8,Counter 11,189
295,2022-03-19 01:36:00,2022-03-19,B8,Counter 19,37
296,2023-06-22 09:04:00,2023-06-22,B4,Counter 3,143
297,2022-03-16 16:20:00,2022-03-16,C9,Counter 5,461
298,2023-11-12 09:59:00,2023-11-12,A10,Counter 4,660
299,2023-04-06 18:08:00,2023-04-06,C3,Counter 12,984
300,2023-03-27 16:01:00,2023-03-27,B2,Counter 5,753
301,2023-10-22 03:52:00,2023-10-22,B5,Counter 18,680
302,2022-04-20 00:02:00,2022-04-20,C4,Counter 12,753
303,2023-09-09 10:16:00,2023-09-09,A5,Counter 4,46
304,2022-11-09 15:26:00,2022-11-09,A1,Counter 18,424
305,2023-11-02 13:04:00,2023-11-02,B4,Counter 9,897
306,2022-02-17 15:54:00,2022-02-17,A6,Counter 16,569
307,2022-01-18 03:09:00,2022-01-18,A10,Counter 18,911
308,2023-01-21 16:14:00,2023-01-21,C3,Counter 12,24
309,2022-01-24 20:25:00,2022-01-24,B7,Counter 9,604
310,2023-12-17 18:04:00,2023-12-17,B10,Counter 5,330
311,2023-07-15 17:14:00,2023-07-15,B9,Counter 20,186
312,2022-11-24 03:40:00,2022-11-24,C10,Counter 19,534
313,2022-11-16 05:06:00,2022-11-16,B5,Counter 13,525
314,2022-05-03 14:35:00,2022-05-03,B3,Counter 20,1
315,2022-12-08 19:46:00,2022-12-08,C7,Counter 6,695
316,2023-02-18 10:46:00,2023-02-18,B9,Counter 8,23
317,2023-11-15 02:02:00,2023-11-15,B7,Counter 1,878
318,2023-09-27 01:37:00,2023-09-27,A7,Counter 8,747
319,2023-08-05 02:38:00,2023-08-05,A8,Counter 14,856
320,2023-01-01 05:31:00,2023-01-01,C10,Counter 19,68
321,2023-03-03 06:55:00,2023-03-03,A2,Counter 5,489
322,2023-05-10 06:23:00,2023-05-10,B3,Counter 3,182
323,2022-06-30 22:46:00,2022-06-30,B3,Counter 18,731
324,2022-08-31 10:19:00,2022-08-31,A10,Counter 4,68
325,2023-12-02 19:19:00,2023-12-02,C4,Counter 14,165
326,2023-03-11 17:17:00,2023-03-11,A4,Counter 3,296
327,2022-07-14 03:01:00,2022-07-14,A5,Counter 12,265
328,2023-03-03 10:12:00,2023-03-03,B10,Counter 6,768
329,2022-09-24 15:55:00,2022-09-24,B9,Counter 6,134
330,2022-06-09 18:45:00,2022-06-09,A7,Counter 15,2
331,2023-06-10 00:17:00,2023-06-10,A3,Counter 17,894
332,2022-02-20 08:01:00,2022-02-20,C10,Counter 15,905
333,2023-10-06 16:36:00,2023-10-06,A5,Counter 13,790
334,2023-02-14 07:11:00,2023-02-14,C10,Counter 8,765
335,2022-09-11 16:08:00,2022-09-11,C4,Counter 17,914
336,2023-04-30 11:48:00,2023-04-30,C1,Counter 1,850
337,2023-10-31 15:51:00,2023-10-31,B4,Counter 2,538
338,2022-10-07 10:52:00,2022-10-07,C3,Counter 19,757
339,2023-09-03 01:59:00,2023-09-03,A3,Counter 17,174
340,2023-07-18 02:35:00,2023-07-18,B2,Counter 6,20
341,2022-07-24 01:49:00,2022-07-24,B4,Counter 10,267
342,2022-09-14 07:29:00,2022-09-14,B2,Counter 12,590
343,2023-03-24 14:28:00,2023-03-24,B10,Counter 7,799
344,2023-02-10 00:58:00,2023-02-10,B8,Counter 7,112
345,2022-01-21 15:55:00,2022-01-21,C3,Counter 15,125
346,2022-08-31 01:36:00,2022-08-31,C9,Counter 7,575
347,2022-08-21 00:23:00,2022-08-21,B1,Counter 15,888
348,2023-10-27 05:32:00,2023-10-27,A10,Counter 3,370
349,2022-01-15 01:48:00,2022-01-15,C6,Counter 14,88
350,2022-12-16 18:12:00,2022-12-16,A9,Counter 6,732
351,2022-08-11 18:37:00,2022-08-11,B4,Counter 5,385
352,2022-10-13 07:49:00,2022-10-13,A5,Counter 6,113
353,2022-04-14 11:33:00,2022-04-14,B1,Counter 4,349
354,2023-11-07 16:47:00,2023-11-07,A5,Counter 9,63
355,2022-05-22 08:50:00,2022-05-22,B10,Counter 9,349
356,2023-12-01 09:11:00,2023-12-01,B6,Counter 11,829
357,2022-03-25 05:55:00,2022-03-25,A9,Counter 19,512
358,2022-05-20 15:28:00,2022-05-20,A4,Counter 12,248
359,2023-04-08 01:58:00,2023-04-08,C8,Counter 11,720
360,2022-03-07 00:52:00,2022-03-07,B7,Counter 4,26
361,2023-10-25 23:37:00,2023-10-25,B7,Counter 8,765
362,2023-12-09 10:44:00,2023-12-09,A8,Counter 16,2
363,2023-04-30 04:52:00,2023-04-30,A9,Counter 2,285
364,2022-03-07 08:19:00,2022-03-07,A3,Counter 12,293
365,2023-01-14 10:26:00,2023-01-14,A2,Counter 9,245
366,2023-08-14 21:05:00,2023-08-14,C6,Counter 6,664
367,2022-07-30 10:43:00,2022-07-30,C6,Counter 11,355
368,2023-09-17 10:52:00,2023-09-17,C10,Counter 14,892
369,2022-07-10 11:22:00,2022-07-10,A6,Counter 15,395
370,2022-11-08 09:59:00,2022-11-08,B7,Counter 13,512
371,2023-05-11 05:56:00,2023-05-11,B9,Counter 7,450
372,2022-05-15 16:07:00,2022-05-15,B6,Counter 15,731
373,2023-02-23 09:43:00,2023-02-23,C4,Counter 5,188
374,2022-07-08 17:44:00,2022-07-08,A10,Counter 1,622
375,2022-01-04 22:07:00,2022-01-04,A2,Counter 20,874
376,2023-12-22 06:40:00,2023-12-22,A8,Counter 8,839
377,2022-06-19 22:55:00,2022-06-19,A9,Counter 8,869
378,2023-04-22 10:06:00,2023-04-22,C1,Counter 12,527
379,2022-11-28 05:02:00,2022-11-28,A3,Counter 1,540
380,2022-06-25 10:30:00,2022-06-25,B8,Counter 8,887
381,2022-01-31 12:28:00,2022-01-31,C2,Counter 2,144
382,2023-02-16 10:55:00,2023-02-16,A10,Counter 20,26
383,2022-08-14 23:27:00,2022-08-14,B3,Counter 13,160
384,2023-02-14 22:22:00,2023-02-14,C1,Counter 10,34
385,2022-01-04 22:28:00,2022-01-04,C4,Counter 5,48
386,2022-03-01 19:26:00,2022-03-01,A4,Counter 6,76
387,2022-01-04 22:36:00,2022-01-04,C5,Counter 7,572
388,2023-01-22 11:59:00,2023-01-22,A3,Counter 12,597
389,2022-10-01 02:24:00,2022-10-01,C6,Counter 4,180
390,2023-09-06 02:09:00,2023-09-06,B3,Counter 20,152
391,2023-11-23 17:27:00,2023-11-23,C5,Counter 11,664
392,2022-11-05 01:08:00,2022-11-05,A4,Counter 17,55
393,2023-12-06 14:34:00,2023-12-06,B6,Counter 5,318
394,2023-03-31 19:00:00,2023-03-31,C9,Counter 15,199
395,2022-05-03 21:37:00,2022-05-03,B8,Counter 12,997
396,2022-05-19 21:22:00,2022-05-19,A9,Counter 5,451
397,2022-12-20 05:32:00,2022-12-20,A5,Counter 14,90
398,2023-04-29 05:13:00,2023-04-29,A8,Counter 5,999
399,2022-08-08 04:00:00,2022-08-08,C9,Counter 1,274
400,2022-09-05 02:08:00,2022-09-05,A1,Counter 5,608
401,2023-11-27 04:57:00,2023-11-27,C5,Counter 1,797
402,2022-12-26 16:17:00,2022-12-26,B3,Counter 2,763
403,2022-02-13 05:11:00,2022-02-13,C10,Counter 2,254
404,2022-04-25 09:04:00,2022-04-25,C2,Counter 20,303
405,2023-05-09 02:08:00,2023-05-09,B6,Counter 4,939
406,2023-04-10 08:18:00,2023-04-10,B4,Counter 10,86
407,2023-06-01 17:55:00,2023-06-01,A5,Counter 16,504
408,2022-05-31 23:00:00,2022-05-31,C4,Counter 13,754
409,2022-12-11 13:04:00,2022-12-11,B6,Counter 17,824
410,2022-10-11 16:01:00,2022-10-11,B10,Counter 5,817
411,2022-10-02 08:46:00,2022-10-02,A2,Counter 9,498
412,2023-04-24 00:19:00,2023-04-24,B7,Counter 17,410
413,2022-06-09 01:21:00,2022-06-09,B2,Counter 6,645
414,2022-08-13 15:56:00,2022-08-13,B3,Counter 6,563
415,2022-02-07 07:17:00,2022-02-07,C2,Counter 17,257
416,2023-09-25 09:42:00,2023-09-25,A7,Counter 16,703
417,2022-05-06 09:42:00,2022-05-06,B3,Counter 19,189
418,2023-09-22 09:03:00,2023-09-22,A5,Counter 19,705
419,2022-12-23 09:49:00,2022-12-23,B1,Counter 19,119
420,2022-09-26 07:55:00,2022-09-26,B1,Counter 20,830
421,2023-06-01 05:19:00,2023-06-01,C10,Counter 18,576
