IdSeat,Size,Number,Location,PlaneModel_Id
135,Large,45C,Back,SMN
136,Small,46A,Front,SMN
137,Medium,46B,Middle,SMN
138,Large,46C,Back,SMN
139,Small,47A,Front,SMN
140,Medium,47B,Middle,SMN
141,Large,47C,Back,SMN
142,Small,48A,Front,SMN
143,Medium,48B,Middle,SMN
144,Large,48C,Back,SMN
145,Small,49A,Front,SMN
146,Medium,49B,Middle,SMN
147,Large,49C,Back,SMN
148,Small,50A,Front,SMN
149,Medium,50B,Middle,SMN
150,Large,50C,Back,SMN
151,Small,1A,Front,CBK
152,Medium,1B,Middle,CBK
153,Large,1C,Back,CBK
154,Small,2A,Front,CBK
155,Medium,2B,Middle,CBK
156,Large,2C,Back,CBK
157,Small,3A,Front,CBK
158,Medium,3B,Middle,CBK
159,Large,3C,Back,CBK
160,Small,4A,Front,CBK
161,Medium,4B,Middle,CBK
162,Large,4C,Back,CBK
163,Small,5A,Front,CBK
164,Medium,5B,Middle,CBK
165,Large,5C,Back,CBK
166,Small,6A,Front,CBK
167,Medium,6B,Middle,CBK
168,Large,6C,Back,CBK
169,Small,7A,Front,CBK
170,Medium,7B,Middle,CBK
171,Large,7C,Back,CBK
172,Small,8A,Front,CBK
173,Medium,8B,Middle,CBK
174,Large,8C,Back,CBK
175,Small,9A,Front,CBK
176,Medium,9B,Middle,CBK
177,Large,9C,Back,CBK
178,Small,10A,Front,CBK
179,Medium,10B,Middle,CBK
180,Large,10C,Back,CBK
181,Small,11A,Front,CBK
182,Medium,11B,Middle,CBK
183,Large,11C,Back,CBK
184,Small,12A,Front,CBK
185,Medium,12B,Middle,CBK
186,Large,12C,Back,CBK
187,Small,13A,Front,CBK
188,Medium,13B,Middle,CBK
189,Large,13C,Back,CBK
190,Small,14A,Front,CBK
191,Medium,14B,Middle,CBK
192,Large,14C,Back,CBK
193,Small,15A,Front,CBK
194,Medium,15B,Middle,CBK
195,Large,15C,Back,CBK
196,Small,16A,Front,CBK
197,Medium,16B,Middle,CBK
198,Large,16C,Back,CBK
199,Small,17A,Front,CBK
200,Medium,17B,Middle,CBK
201,Large,17C,Back,CBK
202,Small,18A,Front,CBK
203,Medium,18B,Middle,CBK
204,Large,18C,Back,CBK
205,Small,19A,Front,CBK
206,Medium,19B,Middle,CBK
207,Large,19C,Back,CBK
208,Small,20A,Front,CBK
209,Medium,20B,Middle,CBK
210,Large,20C,Back,CBK
211,Small,21A,Front,CBK
212,Medium,21B,Middle,CBK
213,Large,21C,Back,CBK
214,Small,22A,Front,CBK
215,Medium,22B,Middle,CBK
216,Large,22C,Back,CBK
217,Small,23A,Front,CBK
218,Medium,23B,Middle,CBK
219,Large,23C,Back,CBK
220,Small,24A,Front,CBK
221,Medium,24B,Middle,CBK
222,Large,24C,Back,CBK
223,Small,25A,Front,CBK
224,Medium,25B,Middle,CBK
225,Large,25C,Back,CBK
226,Small,26A,Front,CBK
227,Medium,26B,Middle,CBK
228,Large,26C,Back,CBK
229,Small,27A,Front,CBK
230,Medium,27B,Middle,CBK
231,Large,27C,Back,CBK
232,Small,28A,Front,CBK
233,Medium,28B,Middle,CBK
234,Large,28C,Back,CBK
235,Small,29A,Front,CBK
236,Medium,29B,Middle,CBK
237,Large,29C,Back,CBK
238,Small,30A,Front,CBK
239,Medium,30B,Middle,CBK
240,Large,30C,Back,CBK
241,Small,31A,Front,CBK
242,Medium,31B,Middle,CBK
243,Large,31C,Back,CBK
244,Small,32A,Front,CBK
245,Medium,32B,Middle,CBK
246,Large,32C,Back,CBK
247,Small,33A,Front,CBK
248,Medium,33B,Middle,CBK
249,Large,33C,Back,CBK
250,Small,34A,Front,CBK
251,Medium,34B,Middle,CBK
252,Large,34C,Back,CBK
253,Small,35A,Front,CBK
254,Medium,35B,Middle,CBK
255,Large,35C,Back,CBK
256,Small,36A,Front,CBK
257,Medium,36B,Middle,CBK
258,Large,36C,Back,CBK
259,Small,37A,Front,CBK
260,Medium,37B,Middle,CBK
261,Large,37C,Back,CBK
262,Small,38A,Front,CBK
263,Medium,38B,Middle,CBK
264,Large,38C,Back,CBK
265,Small,39A,Front,CBK
266,Medium,39B,Middle,CBK
267,Large,39C,Back,CBK
268,Small,40A,Front,CBK
269,Medium,40B,Middle,CBK
270,Large,40C,Back,CBK
271,Small,41A,Front,CBK
272,Medium,41B,Middle,CBK
273,Large,41C,Back,CBK
274,Small,42A,Front,CBK
275,Medium,42B,Middle,CBK
276,Large,42C,Back,CBK
277,Small,43A,Front,CBK
278,Medium,43B,Middle,CBK
279,Large,43C,Back,CBK
280,Small,44A,Front,CBK
281,Medium,44B,Middle,CBK
282,Large,44C,Back,CBK
283,Small,45A,Front,CBK
284,Medium,45B,Middle,CBK
285,Large,45C,Back,CBK
286,Small,46A,Front,CBK
287,Medium,46B,Middle,CBK
288,Large,46C,Back,CBK
289,Small,47A,Front,CBK
290,Medium,47B,Middle,CBK
291,Large,47C,Back,CBK
292,Small,48A,Front,CBK
293,Medium,48B,Middle,CBK
294,Large,48C,Back,CBK
295,Small,49A,Front,CBK
296,Medium,49B,Middle,CBK
297,Large,49C,Back,CBK
298,Small,50A,Front,CBK
299,Medium,50B,Middle,CBK
300,Large,50C,Back,CBK
301,Small,1A,Front,MIJ
302,Medium,1B,Middle,MIJ
303,Large,1C,Back,MIJ
304,Small,2A,Front,MIJ
305,Medium,2B,Middle,MIJ
306,Large,2C,Back,MIJ
307,Small,3A,Front,MIJ
308,Medium,3B,Middle,MIJ
309,Large,3C,Back,MIJ
310,Small,4A,Front,MIJ
311,Medium,4B,Middle,MIJ
312,Large,4C,Back,MIJ
313,Small,5A,Front,MIJ
314,Medium,5B,Middle,MIJ
315,Large,5C,Back,MIJ
316,Small,6A,Front,MIJ
317,Medium,6B,Middle,MIJ
318,Large,6C,Back,MIJ
319,Small,7A,Front,MIJ
320,Medium,7B,Middle,MIJ
321,Large,7C,Back,MIJ
322,Small,8A,Front,MIJ
323,Medium,8B,Middle,MIJ
324,Large,8C,Back,MIJ
325,Small,9A,Front,MIJ
326,Medium,9B,Middle,MIJ
327,Large,9C,Back,MIJ
328,Small,10A,Front,MIJ
329,Medium,10B,Middle,MIJ
330,Large,10C,Back,MIJ
331,Small,11A,Front,MIJ
332,Medium,11B,Middle,MIJ
333,Large,11C,Back,MIJ
334,Small,12A,Front,MIJ
335,Medium,12B,Middle,MIJ
336,Large,12C,Back,MIJ
337,Small,13A,Front,MIJ
338,Medium,13B,Middle,MIJ
339,Large,13C,Back,MIJ
340,Small,14A,Front,MIJ
341,Medium,14B,Middle,MIJ
342,Large,14C,Back,MIJ
343,Small,15A,Front,MIJ
344,Medium,15B,Middle,MIJ
345,Large,15C,Back,MIJ
346,Small,16A,Front,MIJ
347,Medium,16B,Middle,MIJ
348,Large,16C,Back,MIJ
349,Small,17A,Front,MIJ
350,Medium,17B,Middle,MIJ
351,Large,17C,Back,MIJ
352,Small,18A,Front,MIJ
353,Medium,18B,Middle,MIJ
354,Large,18C,Back,MIJ
355,Small,19A,Front,MIJ
356,Medium,19B,Middle,MIJ
357,Large,19C,Back,MIJ
358,Small,20A,Front,MIJ
359,Medium,20B,Middle,MIJ
360,Large,20C,Back,MIJ
361,Small,21A,Front,MIJ
362,Medium,21B,Middle,MIJ
363,Large,21C,Back,MIJ
364,Small,22A,Front,MIJ
365,Medium,22B,Middle,MIJ
366,Large,22C,Back,MIJ
367,Small,23A,Front,MIJ
368,Medium,23B,Middle,MIJ
369,Large,23C,Back,MIJ
370,Small,24A,Front,MIJ
371,Medium,24B,Middle,MIJ
372,Large,24C,Back,MIJ
373,Small,25A,Front,MIJ
374,Medium,25B,Middle,MIJ
375,Large,25C,Back,MIJ
376,Small,26A,Front,MIJ
377,Medium,26B,Middle,MIJ
378,Large,26C,Back,MIJ
379,Small,27A,Front,MIJ
380,Medium,27B,Middle,MIJ
381,Large,27C,Back,MIJ
382,Small,28A,Front,MIJ
383,Medium,28B,Middle,MIJ
384,Large,28C,Back,MIJ
385,Small,29A,Front,MIJ
386,Medium,29B,Middle,MIJ
387,Large,29C,Back,MIJ
388,Small,30A,Front,MIJ
389,Medium,30B,Middle,MIJ
390,Large,30C,Back,MIJ
391,Small,31A,Front,MIJ
392,Medium,31B,Middle,MIJ
393,Large,31C,Back,MIJ
394,Small,32A,Front,MIJ
395,Medium,32B,Middle,MIJ
396,Large,32C,Back,MIJ
397,Small,33A,Front,MIJ
398,Medium,33B,Middle,MIJ
399,Large,33C,Back,MIJ
400,Small,34A,Front,MIJ
401,Medium,34B,Middle,MIJ
402,Large,34C,Back,MIJ
403,Small,35A,Front,MIJ
404,Medium,35B,Middle,MIJ
405,Large,35C,Back,MIJ
406,Small,36A,Front,MIJ
407,Medium,36B,Middle,MIJ
408,Large,36C,Back,MIJ
409,Small,37A,Front,MIJ
410,Medium,37B,Middle,MIJ
411,Large,37C,Back,MIJ
412,Small,38A,Front,MIJ
413,Medium,38B,Middle,MIJ
414,Large,38C,Back,MIJ
415,Small,39A,Front,MIJ
416,Medium,39B,Middle,MIJ
417,Large,39C,Back,MIJ
418,Small,40A,Front,MIJ
419,Medium,40B,Middle,MIJ
420,Large,40C,Back,MIJ
421,Small,41A,Front,MIJ
422,Medium,41B,Middle,MIJ
423,Large,41C,Back,MIJ
424,Small,42A,Front,MIJ
425,Medium,42B,Middle,MIJ
426,Large,42C,Back,MIJ
427,Small,43A,Front,MIJ
428,Medium,43B,Middle,MIJ
429,Large,43C,Back,MIJ
430,Small,44A,Front,MIJ
431,Medium,44B,Middle,MIJ
432,Large,44C,Back,MIJ
433,Small,45A,Front,MIJ
434,Medium,45B,Middle,MIJ
435,Large,45C,Back,MIJ
436,Small,46A,Front,MIJ
437,Medium,46B,Middle,MIJ
438,Large,46C,Back,MIJ
439,Small,47A,Front,MIJ
440,Medium,47B,Middle,MIJ
441,Large,47C,Back,MIJ
442,Small,48A,Front,MIJ
443,Medium,48B,Middle,MIJ
444,Large,48C,Back,MIJ
445,Small,49A,Front,MIJ
446,Medium,49B,Middle,MIJ
447,Large,49C,Back,MIJ
448,Small,50A,Front,MIJ
449,Medium,50B,Middle,MIJ
450,Large,50C,Back,MIJ
451,Small,1A,Front,MNJ
452,Medium,1B,Middle,MNJ
453,Large,1C,Back,MNJ
454,Small,2A,Front,MNJ
455,Medium,2B,Middle,MNJ
456,Large,2C,Back,MNJ
457,Small,3A,Front,MNJ
458,Medium,3B,Middle,MNJ
459,Large,3C,Back,MNJ
460,Small,4A,Front,MNJ
461,Medium,4B,Middle,MNJ
462,Large,4C,Back,MNJ
463,Small,5A,Front,MNJ
464,Medium,5B,Middle,MNJ
465,Large,5C,Back,MNJ
466,Small,6A,Front,MNJ
467,Medium,6B,Middle,MNJ
468,Large,6C,Back,MNJ
469,Small,7A,Front,MNJ
470,Medium,7B,Middle,MNJ
471,Large,7C,Back,MNJ
472,Small,8A,Front,MNJ
473,Medium,8B,Middle,MNJ
474,Large,8C,Back,MNJ
475,Small,9A,Front,MNJ
476,Medium,9B,Middle,MNJ
477,Large,9C,Back,MNJ
478,Small,10A,Front,MNJ
479,Medium,10B,Middle,MNJ
480,Large,10C,Back,MNJ
481,Small,11A,Front,MNJ
482,Medium,11B,Middle,MNJ
483,Large,11C,Back,MNJ
484,Small,12A,Front,MNJ
485,Medium,12B,Middle,MNJ
486,Large,12C,Back,MNJ
487,Small,13A,Front,MNJ
488,Medium,13B,Middle,MNJ
489,Large,13C,Back,MNJ
490,Small,14A,Front,MNJ
491,Medium,14B,Middle,MNJ
492,Large,14C,Back,MNJ
493,Small,15A,Front,MNJ
494,Medium,15B,Middle,MNJ
495,Large,15C,Back,MNJ
496,Small,16A,Front,MNJ
497,Medium,16B,Middle,MNJ
498,Large,16C,Back,MNJ
499,Small,17A,Front,MNJ
500,Medium,17B,Middle,MNJ
501,Large,17C,Back,MNJ
502,Small,18A,Front,MNJ
503,Medium,18B,Middle,MNJ
504,Large,18C,Back,MNJ
505,Small,19A,Front,MNJ
506,Medium,19B,Middle,MNJ
507,Large,19C,Back,MNJ
508,Small,20A,Front,MNJ
509,Medium,20B,Middle,MNJ
510,Large,20C,Back,MNJ
511,Small,21A,Front,MNJ
512,Medium,21B,Middle,MNJ
513,Large,21C,Back,MNJ
514,Small,22A,Front,MNJ
515,Medium,22B,Middle,MNJ
516,Large,22C,Back,MNJ
517,Small,23A,Front,MNJ
518,Medium,23B,Middle,MNJ
519,Large,23C,Back,MNJ
520,Small,24A,Front,MNJ
521,Medium,24B,Middle,MNJ
522,Large,24C,Back,MNJ
523,Small,25A,Front,MNJ
524,Medium,25B,Middle,MNJ
525,Large,25C,Back,MNJ
526,Small,26A,Front,MNJ
527,Medium,26B,Middle,MNJ
528,Large,26C,Back,MNJ
529,Small,27A,Front,MNJ
530,Medium,27B,Middle,MNJ
531,Large,27C,Back,MNJ
532,Small,28A,Front,MNJ
533,Medium,28B,Middle,MNJ
534,Large,28C,Back,MNJ
535,Small,29A,Front,MNJ
536,Medium,29B,Middle,MNJ
537,Large,29C,Back,MNJ
538,Small,30A,Front,MNJ
539,Medium,30B,Middle,MNJ
540,Large,30C,Back,MNJ
541,Small,31A,Front,MNJ
542,Medium,31B,Middle,MNJ
543,Large,31C,Back,MNJ
544,Small,32A,Front,MNJ
545,Medium,32B,Middle,MNJ
546,Large,32C,Back,MNJ
547,Small,33A,Front,MNJ
548,Medium,33B,Middle,MNJ
549,Large,33C,Back,MNJ
550,Small,34A,Front,MNJ
551,Medium,34B,Middle,MNJ
552,Large,34C,Back,MNJ
553,Small,35A,Front,MNJ
554,Medium,35B,Middle,MNJ
555,Large,35C,Back,MNJ
556,Small,36A,Front,MNJ
557,Medium,36B,Middle,MNJ
558,Large,36C,Back,MNJ
559,Small,37A,Front,MNJ
560,Medium,37B,Middle,MNJ
561,Large,37C,Back,MNJ
562,Small,38A,Front,MNJ
563,Medium,38B,Middle,MNJ
564,Large,38C,Back,MNJ
565,Small,39A,Front,MNJ
566,Medium,39B,Middle,MNJ
567,Large,39C,Back,MNJ
568,Small,40A,Front,MNJ
569,Medium,40B,Middle,MNJ
570,Large,40C,Back,MNJ
571,Small,41A,Front,MNJ
572,Medium,41B,Middle,MNJ
573,Large,41C,Back,MNJ
574,Small,42A,Front,MNJ
575,Medium,42B,Middle,MNJ
576,Large,42C,Back,MNJ
577,Small,43A,Front,MNJ
578,Medium,43B,Middle,MNJ
579,Large,43C,Back,MNJ
580,Small,44A,Front,MNJ
581,Medium,44B,Middle,MNJ
582,Large,44C,Back,MNJ
583,Small,45A,Front,MNJ
584,Medium,45B,Middle,MNJ
585,Large,45C,Back,MNJ
586,Small,46A,Front,MNJ
587,Medium,46B,Middle,MNJ
588,Large,46C,Back,MNJ
589,Small,47A,Front,MNJ
590,Medium,47B,Middle,MNJ
591,Large,47C,Back,MNJ
592,Small,48A,Front,MNJ
593,Medium,48B,Middle,MNJ
594,Large,48C,Back,MNJ
595,Small,49A,Front,MNJ
596,Medium,49B,Middle,MNJ
597,Large,49C,Back,MNJ
598,Small,50A,Front,MNJ
599,Medium,50B,Middle,MNJ
600,Large,50C,Back,MNJ
601,Small,1A,Front,MJY
602,Medium,1B,Middle,MJY
603,Large,1C,Back,MJY
604,Small,2A,Front,MJY
605,Medium,2B,Middle,MJY
606,Large,2C,Back,MJY
607,Small,3A,Front,MJY
608,Medium,3B,Middle,MJY
609,Large,3C,Back,MJY
610,Small,4A,Front,MJY
611,Medium,4B,Middle,MJY
612,Large,4C,Back,MJY
613,Small,5A,Front,MJY
614,Medium,5B,Middle,MJY
615,Large,5C,Back,MJY
616,Small,6A,Front,MJY
617,Medium,6B,Middle,MJY
618,Large,6C,Back,MJY
619,Small,7A,Front,MJY
620,Medium,7B,Middle,MJY
621,Large,7C,Back,MJY
622,Small,8A,Front,MJY
623,Medium,8B,Middle,MJY
624,Large,8C,Back,MJY
625,Small,9A,Front,MJY
626,Medium,9B,Middle,MJY
627,Large,9C,Back,MJY
628,Small,10A,Front,MJY
629,Medium,10B,Middle,MJY
630,Large,10C,Back,MJY
631,Small,11A,Front,MJY
632,Medium,11B,Middle,MJY
633,Large,11C,Back,MJY
634,Small,12A,Front,MJY
635,Medium,12B,Middle,MJY
636,Large,12C,Back,MJY
637,Small,13A,Front,MJY
638,Medium,13B,Middle,MJY
639,Large,13C,Back,MJY
640,Small,14A,Front,MJY
641,Medium,14B,Middle,MJY
642,Large,14C,Back,MJY
643,Small,15A,Front,MJY
644,Medium,15B,Middle,MJY
645,Large,15C,Back,MJY
646,Small,16A,Front,MJY
647,Medium,16B,Middle,MJY
648,Large,16C,Back,MJY
649,Small,17A,Front,MJY
650,Medium,17B,Middle,MJY
651,Large,17C,Back,MJY
652,Small,18A,Front,MJY
653,Medium,18B,Middle,MJY
654,Large,18C,Back,MJY
655,Small,19A,Front,MJY
656,Medium,19B,Middle,MJY
657,Large,19C,Back,MJY
658,Small,20A,Front,MJY
659,Medium,20B,Middle,MJY
660,Large,20C,Back,MJY
661,Small,21A,Front,MJY
662,Medium,21B,Middle,MJY
663,Large,21C,Back,MJY
664,Small,22A,Front,MJY
665,Medium,22B,Middle,MJY
666,Large,22C,Back,MJY
667,Small,23A,Front,MJY
668,Medium,23B,Middle,MJY
669,Large,23C,Back,MJY
670,Small,24A,Front,MJY
671,Medium,24B,Middle,MJY
672,Large,24C,Back,MJY
673,Small,25A,Front,MJY
674,Medium,25B,Middle,MJY
675,Large,25C,Back,MJY
676,Small,26A,Front,MJY
677,Medium,26B,Middle,MJY
678,Large,26C,Back,MJY
679,Small,27A,Front,MJY
680,Medium,27B,Middle,MJY
681,Large,27C,Back,MJY
682,Small,28A,Front,MJY
683,Medium,28B,Middle,MJY
684,Large,28C,Back,MJY
685,Small,29A,Front,MJY
686,Medium,29B,Middle,MJY
687,Large,29C,Back,MJY
688,Small,30A,Front,MJY
689,Medium,30B,Middle,MJY
690,Large,30C,Back,MJY
691,Small,31A,Front,MJY
692,Medium,31B,Middle,MJY
693,Large,31C,Back,MJY
694,Small,32A,Front,MJY
695,Medium,32B,Middle,MJY
696,Large,32C,Back,MJY
697,Small,33A,Front,MJY
698,Medium,33B,Middle,MJY
699,Large,33C,Back,MJY
700,Small,34A,Front,MJY
701,Medium,34B,Middle,MJY
702,Large,34C,Back,MJY
703,Small,35A,Front,MJY
704,Medium,35B,Middle,MJY
705,Large,35C,Back,MJY
706,Small,36A,Front,MJY
707,Medium,36B,Middle,MJY
708,Large,36C,Back,MJY
709,Small,37A,Front,MJY
710,Medium,37B,Middle,MJY
711,Large,37C,Back,MJY
712,Small,38A,Front,MJY
713,Medium,38B,Middle,MJY
714,Large,38C,Back,MJY
715,Small,39A,Front,MJY
716,Medium,39B,Middle,MJY
717,Large,39C,Back,MJY
718,Small,40A,Front,MJY
719,Medium,40B,Middle,MJY
720,Large,40C,Back,MJY
721,Small,41A,Front,MJY
722,Medium,41B,Middle,MJY
723,Large,41C,Back,MJY
724,Small,42A,Front,MJY
725,Medium,42B,Middle,MJY
726,Large,42C,Back,MJY
727,Small,43A,Front,MJY
728,Medium,43B,Middle,MJY
729,Large,43C,Back,MJY
730,Small,44A,Front,MJY
731,Medium,44B,Middle,MJY
732,Large,44C,Back,MJY
733,Small,45A,Front,MJY
734,Medium,45B,Middle,MJY
735,Large,45C,Back,MJY
736,Small,46A,Front,MJY
737,Medium,46B,Middle,MJY
738,Large,46C,Back,MJY
739,Small,47A,Front,MJY
740,Medium,47B,Middle,MJY
741,Large,47C,Back,MJY
742,Small,48A,Front,MJY
743,Medium,48B,Middle,MJY
744,Large,48C,Back,MJY
745,Small,49A,Front,MJY
746,Medium,49B,Middle,MJY
747,Large,49C,Back,MJY
748,Small,50A,Front,MJY
749,Medium,50B,Middle,MJY
750,Large,50C,Back,MJY
751,Small,1A,Front,IPA
752,Medium,1B,Middle,IPA
753,Large,1C,Back,IPA
754,Small,2A,Front,IPA
755,Medium,2B,Middle,IPA
756,Large,2C,Back,IPA
757,Small,3A,Front,IPA
758,Medium,3B,Middle,IPA
759,Large,3C,Back,IPA
760,Small,4A,Front,IPA
761,Medium,4B,Middle,IPA
762,Large,4C,Back,IPA
763,Small,5A,Front,IPA
764,Medium,5B,Middle,IPA
765,Large,5C,Back,IPA
766,Small,6A,Front,IPA
767,Medium,6B,Middle,IPA
768,Large,6C,Back,IPA
769,Small,7A,Front,IPA
770,Medium,7B,Middle,IPA
771,Large,7C,Back,IPA
772,Small,8A,Front,IPA
773,Medium,8B,Middle,IPA
774,Large,8C,Back,IPA
775,Small,9A,Front,IPA
776,Medium,9B,Middle,IPA
777,Large,9C,Back,IPA
778,Small,10A,Front,IPA
779,Medium,10B,Middle,IPA
780,Large,10C,Back,IPA
781,Small,11A,Front,IPA
782,Medium,11B,Middle,IPA
783,Large,11C,Back,IPA
784,Small,12A,Front,IPA
785,Medium,12B,Middle,IPA
786,Large,12C,Back,IPA
787,Small,13A,Front,IPA
788,Medium,13B,Middle,IPA
789,Large,13C,Back,IPA
790,Small,14A,Front,IPA
791,Medium,14B,Middle,IPA
792,Large,14C,Back,IPA
793,Small,15A,Front,IPA
794,Medium,15B,Middle,IPA
795,Large,15C,Back,IPA
796,Small,16A,Front,IPA
797,Medium,16B,Middle,IPA
798,Large,16C,Back,IPA
799,Small,17A,Front,IPA
800,Medium,17B,Middle,IPA
801,Large,17C,Back,IPA
802,Small,18A,Front,IPA
803,Medium,18B,Middle,IPA
804,Large,18C,Back,IPA
805,Small,19A,Front,IPA
806,Medium,19B,Middle,IPA
807,Large,19C,Back,IPA
808,Small,20A,Front,IPA
809,Medium,20B,Middle,IPA
810,Large,20C,Back,IPA
811,Small,21A,Front,IPA
812,Medium,21B,Middle,IPA
813,Large,21C,Back,IPA
814,Small,22A,Front,IPA
815,Medium,22B,Middle,IPA
816,Large,22C,Back,IPA
817,Small,23A,Front,IPA
818,Medium,23B,Middle,IPA
819,Large,23C,Back,IPA
820,Small,24A,Front,IPA
821,Medium,24B,Middle,IPA
822,Large,24C,Back,IPA
823,Small,25A,Front,IPA
824,Medium,25B,Middle,IPA
825,Large,25C,Back,IPA
826,Small,26A,Front,IPA
827,Medium,26B,Middle,IPA
828,Large,26C,Back,IPA
829,Small,27A,Front,IPA
830,Medium,27B,Middle,IPA
831,Large,27C,Back,IPA
832,Small,28A,Front,IPA
833,Medium,28B,Middle,IPA
834,Large,28C,Back,IPA
835,Small,29A,Front,IPA
836,Medium,29B,Middle,IPA
837,Large,29C,Back,IPA
838,Small,30A,Front,IPA
839,Medium,30B,Middle,IPA
840,Large,30C,Back,IPA
841,Small,31A,Front,IPA
842,Medium,31B,Middle,IPA
843,Large,31C,Back,IPA
844,Small,32A,Front,IPA
845,Medium,32B,Middle,IPA
846,Large,32C,Back,IPA
847,Small,33A,Front,IPA
848,Medium,33B,Middle,IPA
849,Large,33C,Back,IPA
850,Small,34A,Front,IPA
851,Medium,34B,Middle,IPA
852,Large,34C,Back,IPA
853,Small,35A,Front,IPA
854,Medium,35B,Middle,IPA
855,Large,35C,Back,IPA
856,Small,36A,Front,IPA
857,Medium,36B,Middle,IPA
858,Large,36C,Back,IPA
859,Small,37A,Front,IPA
860,Medium,37B,Middle,IPA
861,Large,37C,Back,IPA
862,Small,38A,Front,IPA
863,Medium,38B,Middle,IPA
864,Large,38C,Back,IPA
865,Small,39A,Front,IPA
866,Medium,39B,Middle,IPA
867,Large,39C,Back,IPA
868,Small,40A,Front,IPA
869,Medium,40B,Middle,IPA
870,Large,40C,Back,IPA
871,Small,41A,Front,IPA
